,state_name,Number_of_fires,Number.of.acres.burned.,latitude.x,longitude.x,business_closed,latitude.y,longitude.y,population
1,Alabama,1284.00,"25,623",32.88404246,-86.81980012,7214,32.88404246,-86.81980012,4799220
2,Alaska,603.00,"1,316,876",61.65627756,-153.3372215,1553,61.65627756,-153.3372215,719805
3,Arizona,1756.00,"105,281",33.70582711,-111.5757555,10954,33.70582711,-111.5757555,6482040
4,Arkansas,881.00,"14,733",35.13441271,-92.37732717,4852,35.13441271,-92.37732717,2933423
5,California,9907.00,"577,675",36.42589527,-119.92227,73969,36.42589527,-119.92227,37649909
6,Colorado,1176.00,"195,145",39.23322914,-105.345361,12914,39.23322914,-105.345361,5119400
7,Connecticut,76.00,238,41.57642401,-72.76643961,6569,41.57642401,-72.76643961,3583561
8,Delaware,4.00,17,39.20801194,-75.51738373,1815,39.20801194,-75.51738373,908446
9,Florida,101.00,"7,660",28.16297891,-82.02580079,45746,28.16297891,-82.02580079,19091069
10,Georgia,2942.00,"6,736",32.97087433,-83.64010201,17793,32.97087433,-83.64010201,9809871
11,Hawaii,-1.00,-1,20.93264234,-157.2496423,2220,20.93264234,-157.2496423,1376250
12,Idaho,1471.00,"722,204",44.61020072,-114.7432341,3564,44.61020072,-114.7432341,1582648
13,Illinois,24.00,55,40.37033852,-89.01153836,24720,40.37033852,-89.01153836,12848544
14,Indiana,19.00,806,39.95522663,-86.26795601,10353,39.95522663,-86.26795601,6514519
15,Iowa,436.00,"14,704",42.04040707,-93.37072507,5272,42.04040707,-93.37072507,3063159
16,Kansas,16.00,"7,137",38.49976112,-97.24549614,5271,38.49976112,-97.24549614,2867912
17,Kentucky,1030.00,"25,084",37.57183915,-84.80692336,6420,37.57183915,-84.80692336,4367495
18,Louisiana,1027.00,"17,883",30.95465917,-91.81704621,7455,30.95465917,-91.81704621,4567588
19,Maine,426.00,743,44.60679567,-69.3790644,2971,44.60679567,-69.3790644,1328225
20,Maryland,126.00,182,39.04197908,-76.73963974,10147,39.04197908,-76.73963974,5834284
21,Massachusetts,1132.00,879,42.2326714,-71.53445209,12214,42.2326714,-71.53445209,6605053
22,Michigan,436.00,940,43.52012263,-84.7889791,15922,43.52012263,-84.7889791,9886052
23,Minnesota,1115.00,"22,107",45.57499585,-94.17977243,10010,45.57499585,-94.17977243,5347575
24,Mississippi,5.00,33,32.90946402,-89.68699837,4102,32.90946402,-89.68699837,2976777
25,Missouri,51.00,"1,660",38.40328442,-92.49087572,11426,38.40328442,-92.49087572,6007221
26,Montana,1723.00,"124,209",46.98789992,-110.3075369,2833,46.98789992,-110.3075369,999148
27,Nebraska,10.00,63,41.19778718,-98.2245354,3537,41.19778718,-98.2245354,1841883
28,Nevada,763.00,"162,907",38.08381309,-116.7467826,5555,38.08381309,-116.7467826,2730202
29,New Hampshire,85.00,137,43.40772214,-71.58166488,2728,43.40772214,-71.58166488,1319241
30,New Jersey,1013.00,"1,430",40.37662403,-74.51481197,19267,40.37662403,-74.51481197,8832393
31,New Mexico,1064.00,"221,951",34.7067053,-106.1919228,3544,34.7067053,-106.1919228,2066903
32,New York,138.00,"1,073",42.2633972,-75.13777023,45751,42.2633972,-75.13777023,19486857
33,North Carolina,3514.00,"24,547",35.56241446,-79.40810974,16736,35.56241446,-79.40810974,9651219
34,North Dakota,515.00,"16,116",47.52156679,-99.68438825,1626,47.52156679,-99.68438825,688964
35,Ohio,31.00,152,40.38506797,-82.72786984,17332,40.38506797,-82.72786984,11547903
36,Oklahoma,610.00,"26,490",35.50406724,-97.03554083,6585,35.50406724,-97.03554083,3785406
37,Oregon,2848.00,"350,786",44.47524005,-122.0039465,8215,44.47524005,-122.0039465,3868427
38,Pennsylvania,639.00,"1,788",40.642921,-77.66253933,20442,40.642921,-77.66253933,12731126
39,Rhode Island,7.00,27,41.70440597,-71.51027208,2172,41.70440597,-71.51027208,1051695
40,South Carolina,1337.00,"7,082",33.95501873,-81.04166108,7432,33.95501873,-81.04166108,4679602
41,South Dakota,889.00,"4,475",44.31004642,-99.15471485,1761,44.31004642,-99.15471485,824996
42,Tennessee,424.00,"7,080",35.8204421,-86.31477376,9741,35.8204421,-86.31477376,6395934
43,Texas,70.00,"10,743",31.26294994,-97.76617974,42183,31.26294994,-97.76617974,25637324
44,Utah,1276.00,"70,282",39.77955477,-111.8284498,5891,39.77955477,-111.8284498,2812715
45,Vermont,124.00,281,44.03980451,-72.65377576,1499,44.03980451,-72.65377576,625904
46,Virginia,482.00,"4,418",37.65707508,-78.34819352,14705,37.65707508,-78.34819352,8100652
47,Washington,1527.00,"152,603",47.34743208,-121.1232716,14374,47.34743208,-121.1232716,6807868
48,West Virginia,557.00,"8,577",38.48483377,-80.90534527,2773,38.48483377,-80.90534527,1853463
49,Wisconsin,671.00,"9,196",44.17820659,-89.60147856,9497,44.17820659,-89.60147856,5706738
50,Wyoming,468.00,"44,016",42.93280062,-107.3783683,1715,42.93280062,-107.3783683,570212
